fromNode,toNode,weight
ABCB9,ALG14,0.0667423997688566
ABCB9,ALG5,0.0905805828272447
ABCB9,AURKB,0.0486748924450057
ABCB9,B4GALT2,0.10591543679059
ABCB9,B9D1,0.050124736597867
ABCB9,BHLHA15,0.17840851369484
ABCB9,BIRC5,0.0546285934784658
ABCB9,BUB1,0.0256940222784964
ABCB9,CALR,0.0648728245925938
ABCB9,CALU,0.0476220328031691
ABCB9,CAV1,0.0625796382264313
ABCB9,CCL25,0.120189688067788
ABCB9,CCNB1,0.0229075970601698
ABCB9,CCNB2,0.0302116140959797
ABCB9,CCNE1,0.0633320163702551
ABCB9,CCNF,0.0400182264764195
ABCB9,CDC20,0.0791183600734321
ABCB9,CDC45,0.0423327813329972
ABCB9,CDC6,0.0654591549336323
ABCB9,CDCA3,0.0430207275018692
ABCB9,CDCA5,0.0443131746469843
ABCB9,CENPA,0.0392270303376946
ABCB9,CENPM,0.0454880571309386
ABCB9,CENPW,0.0201956193685027
ABCB9,CHAC1,0.0716901786057921
ABCB9,CHAC2,0.0647232429039364
ABCB9,CHEK1,0.0336548457678555
ABCB9,CLPTM1L,0.118877506586199
ABCB9,CNKSR1,0.0803890734035476
ABCB9,CPNE5,0.0966350527173347
ABCB9,CRYBB1,0.0773145217150263
ABCB9,DERL3,0.149665676343028
ABCB9,DNAJB11,0.121111777815312
ABCB9,DTL,0.0255840333093754
ABCB9,DUSP5,0.0677792845310045
ABCB9,EAF2,0.032698695340231
ABCB9,ELL2,0.0273632404054865
ABCB9,ERLEC1,0.0709734172245344
ABCB9,EXO1,0.0206844709120196
ABCB9,FABP5,0.0286246950204575
ABCB9,FBXO16,0.0588759980944806
ABCB9,FEN1,0.0780516047760444
ABCB9,FKBP11,0.160989960620622
ABCB9,FOXM1,0.0332207942519997
ABCB9,FOXRED1,0.0405551565532807
ABCB9,GGH,0.0709708637407861
ABCB9,GINS1,0.0203739280738364
ABCB9,GINS2,0.044937176018474
ABCB9,GLDC,0.0738619258036637
ABCB9,GMNN,0.0403100364666533
ABCB9,GMPPB,0.138191729853963
ABCB9,GPRC5D,0.125200657854459
ABCB9,GTSE1,0.0271452594360543
ABCB9,HASPIN,0.0433500703008671
ABCB9,HID1,0.0734245680428621
ABCB9,HJURP,0.0258145441796179
ABCB9,HMGB3,0.0428280920266865
ABCB9,HSP90B1,0.125047863760123
ABCB9,HSPA5,0.0606674001106738
ABCB9,IFI27L1,0.0699643781893122
ABCB9,IGF1,0.119305901019433
ABCB9,IGLL1,0.084275104762857
ABCB9,IGLL5,0.0614736431469012
ABCB9,ISOC2,0.065655196461959
ABCB9,ITM2C,0.177843827943547
ABCB9,JCHAIN,0.0960755333649193
ABCB9,KCNN3,0.0946623741720488
ABCB9,KDELR2,0.0324250798753692
ABCB9,KIF11,0.023190621076811
ABCB9,KIF18B,0.0207023852262931
ABCB9,KIF2C,0.0381198201484335
ABCB9,KIFC1,0.0336147558232457
ABCB9,LAMP5,0.0377627700670425
ABCB9,LRRC59,0.0856589931196914
ABCB9,MAGED1,0.115565240163903
ABCB9,MANF,0.139804026492163
ABCB9,MCM2,0.0364144894503039
ABCB9,MCM4,0.0288707040542578
ABCB9,MIXL1,0.0939365958499095
ABCB9,MYBL2,0.115476202861555
ABCB9,MYDGF,0.133340560933365
ABCB9,MZB1,0.153981604951181
ABCB9,NEK2,0.0218126033397875
ABCB9,NT5DC2,0.111898547898959
ABCB9,OIP5,0.0380740564048789
ABCB9,ORC1,0.0225660567392918
ABCB9,OSTC,0.0405566234653425
ABCB9,OXCT2,0.107813376275543
ABCB9,PARM1,0.0542506165744599
ABCB9,PBK,0.0547119929425977
ABCB9,PDIA4,0.0966705200267242
ABCB9,PDIA5,0.119290288880966
ABCB9,PDIA6,0.07822960264636
ABCB9,PERP,0.0931733249974508
ABCB9,PHGDH,0.086380425411719
ABCB9,PIF1,0.0528686010740987
ABCB9,PLAAT2,0.136792277317974
ABCB9,PNOC,0.0724368222574482
ABCB9,POU2AF1,0.0811503973970156
ABCB9,PPIB,0.0730997174407886
ABCB9,PRDX4,0.149068555772765
ABCB9,PTTG1,0.0459498174253083
ABCB9,PYCR1,0.150470600323305
ABCB9,QPCTL,0.105649324185214
ABCB9,RAD54L,0.0206820125445485
ABCB9,RPN1,0.0358451499694555
ABCB9,RRM2,0.059252333218473
ABCB9,SDC1,0.113136838780537
ABCB9,SDF2L1,0.0875993647892293
ABCB9,SEC11C,0.164929977065705
ABCB9,SELENOS,0.0921192168684436
ABCB9,SHCBP1,0.0477033058523316
ABCB9,SIX5,0.0742234366906961
ABCB9,SKA1,0.0344925849505033
ABCB9,SLC16A14,0.0465055612935474
ABCB9,SLC17A9,0.0875448334577534
ABCB9,SLC25A4,0.106337487085761
ABCB9,SLC35B1,0.0662842186517908
ABCB9,SPACA3,0.158907237256918
ABCB9,SPAG5,0.0407474097214184
ABCB9,SPATS2,0.0989502403622936
ABCB9,SPC24,0.021888588029313
ABCB9,SPC25,0.0244904322202195
ABCB9,SPCS2,0.0426213773764106
ABCB9,SRPRB,0.102629679827259
ABCB9,SSR3,0.102337699185463
ABCB9,STMN1,0.0209200158741716
ABCB9,SUB1,0.0335062971164231
ABCB9,TCF19,0.0437217668088093
ABCB9,TEDC2,0.0339796333605592
ABCB9,TK1,0.0459081606474801
ABCB9,TMEM106C,0.0290717194238431
ABCB9,TMEM198,0.0776663575602627
ABCB9,TMEM214,0.0571829845449328
ABCB9,TNFRSF13B,0.165886738737288
ABCB9,TNFRSF17,0.148404743588396
ABCB9,TRAM2,0.0466869774043008
ABCB9,TRIP13,0.0386201215762609
ABCB9,TROAP,0.0237234150066949
ABCB9,TUBG1,0.0647359982646427
ABCB9,TWIST2,0.0855747260107669
ABCB9,TXNDC11,0.0720259034649938
ABCB9,TXNDC5,0.110224797259217
ABCB9,UAP1,0.111153597265386
ABCB9,UBE2C,0.0283381140994552
ABCB9,UBE2T,0.0207724357445558
ABCB9,UCHL1,0.136086352070986
ABCB9,UFD1,0.0314532488498041
ABCB9,XBP1,0.132225029233551
ABCB9,ZWINT,0.0567922705596804
ALG14,ALG5,0.166879285519897
ALG14,APOO,0.0464430167319605
ALG14,AURKB,0.0588233476226078
ALG14,B4GALT2,0.0858532195068347
ALG14,B9D1,0.030415791425208
ALG14,BHLHA15,0.119650340412247
ALG14,BIRC5,0.0556042073023755
ALG14,CALR,0.0200179663415853
ALG14,CALU,0.0216119660289408
ALG14,CAV1,0.0855298664924566
ALG14,CCL25,0.122887482190619
ALG14,CCNA2,0.021388685793963
ALG14,CCNB2,0.0288819342125952
ALG14,CCNE1,0.0465543357034266
ALG14,CDC20,0.0738796893639869
ALG14,CDC45,0.0420247916850499
ALG14,CDC6,0.0373781205257458
ALG14,CDCA3,0.041940510852685
ALG14,CDCA5,0.0511413433154107
ALG14,CDCA8,0.0208087704631658
ALG14,CDK1,0.0327952817210924
ALG14,CENPA,0.0459567694642137
ALG14,CENPM,0.0483734169339061
ALG14,CENPN,0.0310265721092549
ALG14,CENPO,0.0291557771490467
ALG14,CENPS,0.0885372002906774
ALG14,CENPW,0.0482133588289295
ALG14,CHAC1,0.0303082805625783
ALG14,CHAC2,0.0357771774296395
ALG14,CHEK1,0.0261203799345075
ALG14,CKS1B,0.0734851271943086
ALG14,CKS2,0.0412922137571381
ALG14,CLPTM1L,0.0317000228391815
ALG14,CNKSR1,0.0313106493229218
ALG14,CPNE5,0.087582499186912
ALG14,CRYBB1,0.0370297277348597
ALG14,DERL3,0.119535789426858
ALG14,DHCR24,0.0334352314507231
ALG14,DNAJB11,0.149959855150962
ALG14,DUSP5,0.0690229691253829
ALG14,EAF2,0.073890388204983
ALG14,ERLEC1,0.0851628253676264
ALG14,FABP5,0.0965983782885593
ALG14,FBXO10,0.0344119947891345
ALG14,FBXO16,0.0274173330684903
ALG14,FEN1,0.106330678342832
ALG14,FKBP11,0.114122876756706
ALG14,FOXRED1,0.0324383636719211
ALG14,GGH,0.0839096945323868
ALG14,GINS2,0.068954869588274
ALG14,GINS3,0.0373252591450449
ALG14,GLDC,0.0549512748228772
ALG14,GMNN,0.0344563705620383
ALG14,GMPPB,0.13387520875168
ALG14,GPRC5D,0.080043645235065
ALG14,HASPIN,0.028215446026759
ALG14,HERPUD1,0.0228265327049408
ALG14,HID1,0.0360778641542368
ALG14,HMGB3,0.0481024230062284
ALG14,HSP90B1,0.11759406114657
ALG14,HSPA5,0.100440855309445
ALG14,IFI27L1,0.0906350029418696
ALG14,IGF1,0.121256893952397
ALG14,IGLL1,0.0834686373123727
ALG14,IGLL5,0.0870173852177661
ALG14,ISOC2,0.0214316324676211
ALG14,ITM2C,0.132698073119335
ALG14,JCHAIN,0.100980319087389
ALG14,KCNN3,0.0452138003748534
ALG14,KDELR2,0.125603454803673
ALG14,KIF2C,0.0351956078567232
ALG14,LAMP5,0.0599419109603159
ALG14,LRRC59,0.0736202811723313
ALG14,MAGED1,0.059181515265215
ALG14,MANF,0.15476694280226
ALG14,MCM2,0.0333776636825927
ALG14,MIXL1,0.085805691521929
ALG14,MYBL2,0.0560464335518792
ALG14,MYDGF,0.144368431489923
ALG14,MZB1,0.127283648859214
ALG14,NEK2,0.023675589257443
ALG14,NT5DC2,0.105341053050171
ALG14,NUF2,0.0228861283849821
ALG14,OIP5,0.0532133343135805
ALG14,OSTC,0.138354428922429
ALG14,OXCT2,0.0675254687609202
ALG14,PBK,0.0678409525362759
ALG14,PCNA,0.0548171149586428
ALG14,PDIA5,0.0687271876055684
ALG14,PDIA6,0.123109252465678
ALG14,PERP,0.0866169787799859
ALG14,PHGDH,0.0394973548055352
ALG14,PIF1,0.0457151345422038
ALG14,PLAAT2,0.128669690977877
ALG14,PNOC,0.0742614884861257
ALG14,POU2AF1,0.0417933676521397
ALG14,PPIB,0.156565643901684
ALG14,PRDX4,0.146789752942489
ALG14,PTTG1,0.075079244924387
ALG14,PYCR1,0.111439405167812
ALG14,QPCTL,0.0935804717849819
ALG14,RAD51,0.0301239582602988
ALG14,RPN1,0.0459931697327636
ALG14,RRM2,0.0358612559461203
ALG14,SDC1,0.0713489947318732
ALG14,SDF2L1,0.0381231871535791
ALG14,SEC11C,0.107571941226471
ALG14,SELENOS,0.129994896067152
ALG14,SHCBP1,0.0456429905307805
ALG14,SIX5,0.0808753941370124
ALG14,SKA1,0.0480233635299957
ALG14,SLC16A14,0.0366994465161292
ALG14,SLC17A9,0.0603720144720524
ALG14,SLC25A4,0.0400626036069569
ALG14,SLC35B1,0.118812653881953
ALG14,SPACA3,0.118091103255322
ALG14,SPAG5,0.0521355534006434
ALG14,SPATS2,0.0295408468122723
ALG14,SPC25,0.040695935510264
ALG14,SPCS2,0.124755977449101
ALG14,SRPRB,0.18502478561806
ALG14,SSR3,0.135574890882428
ALG14,ST7,0.0371330717683562
ALG14,STMN1,0.0526009630359252
ALG14,SUB1,0.0984625609000376
ALG14,TCF19,0.0289534375736912
ALG14,TK1,0.0254873793722681
ALG14,TMEM106C,0.107057558030366
ALG14,TMEM198,0.0887427722956109
ALG14,TMEM214,0.0781724824283679
ALG14,TNFRSF13B,0.121445933240184
ALG14,TNFRSF17,0.126037796820364
ALG14,TRAM2,0.0215814573425149
ALG14,TRIP13,0.0280162096834182
ALG14,TROAP,0.0353658363170885
ALG14,TUBG1,0.0679982455086881
ALG14,TWIST2,0.0529441233011547
ALG14,TXNDC11,0.0463590923972077
ALG14,TXNDC5,0.109084286194281
ALG14,TYMS,0.0326277119179491
ALG14,UAP1,0.0767076962161662
ALG14,UBE2C,0.0364969861266915
ALG14,UBE2T,0.0468664964824976
ALG14,UCHL1,0.115254856889386
ALG14,UFD1,0.0469436997629201
ALG14,XBP1,0.0567378366827958
ALG14,ZWINT,0.0685014439323546
