,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
IL4,5.62094253095654,-1.24107066396685,0.296947489034351,-4.1794280463617,2.92243164444852e-05,0.000184984579688334,downregulated
TNFRSF6B,1.50625254798419,-1.23213079716257,0.314499629921299,-3.91774959312638,8.93794814994248e-05,0.000476768376038107,downregulated
SHISA4,36.5220877228795,-1.23027610203054,0.178647785977076,-6.8866014504563,5.71410152107888e-12,2.46089128187708e-10,downregulated
FAM83A,11.9108936670702,-1.22319055550144,0.362568093923548,-3.37368504289671,0.000741691773138441,0.0028270030277447,downregulated
APOC2,1.35120573864553,-1.22177041188353,0.435093508305876,-2.80806398753393,0.00498403225954702,0.0139847796393999,downregulated
ALOX15,153.576287021182,-1.22071510146565,0.339102570232264,-3.59984030976096,0.000318412666030719,0.00137756904923937,downregulated
KCNG1,11.5268401951841,-1.21960276467264,0.2252688040265,-5.41398872313082,6.16360496192952e-08,9.88042889801025e-07,downregulated
GPR15,136.464591629149,-1.21683167478582,0.230988733882006,-5.26792651024876,1.37973317500124e-07,1.98703652930979e-06,downregulated
SPNS3,72.8909129967481,-1.21639877519722,0.233549423693913,-5.20831418017722,1.90564059728224e-07,2.6107566234608e-06,downregulated
ZNF703,76.7018682533276,-1.21452912617134,0.241977313020025,-5.01918593529811,5.18909061431275e-07,6.12149470765781e-06,downregulated
DNASE1L3,10.437777038605,-1.19795989380185,0.209829955706042,-5.70919385542888,1.13512541091916e-08,2.32506112632766e-07,downregulated
NBL1,18.8274283378803,-1.19124459371965,0.396381834928363,-3.00529562343577,0.00265322836805763,0.00825642473323657,downregulated
NEURL1,54.6411701152884,-1.18481900645458,0.211055493592045,-5.6137795149969,1.97954421663055e-08,3.76699312767264e-07,downregulated
FCER2,188.219244968257,-1.17910802701513,0.194967102867927,-6.04772810218075,1.46902599219307e-09,3.8050943757496e-08,downregulated
TNFRSF4,22.1906364324212,-1.17844116953946,0.221540875610996,-5.31929453781112,1.04170378135821e-07,1.55753749767529e-06,downregulated
